method,episode,n_seeds,eval_mean_mean,eval_mean_std,profit_mean_mean,profit_mean_std
step4,200,5,12.842846225762134,1.5095420493825618,1284.2846225762137,150.95420493825623
step4,400,5,13.767738102988636,0.59561288536312,1376.7738102988637,59.561288536312084
step4,600,5,14.263050655602893,0.3721715769012173,1426.3050655602894,37.21715769012182
step4,800,5,14.38212063908559,0.39562402534029717,1438.2120639085588,39.56240253402979
step4,1000,5,14.528243087285153,0.3571714426618999,1452.824308728515,35.71714426619005
step4,1200,5,14.67232515004522,0.34766256241466187,1467.2325150045217,34.76625624146626
step4,1400,5,14.78925266548066,0.3868217472344512,1478.9252665480658,38.68217472344512
step4,1600,5,14.814693765377697,0.4032777548276524,1481.4693765377701,40.32777548276547
step4,1800,5,14.949984845519538,0.3657809137950206,1494.9984845519534,36.5780913795021
step4,2000,5,15.046202832305315,0.23542665459962114,1504.6202832305316,23.542665459962173
step4,2200,5,15.043453459325807,0.25859262159018653,1504.3453459325806,25.859262159018726
step4,2400,5,14.987359665100664,0.26265513407393054,1498.7359665100664,26.265513407392874
step4,2600,5,14.981632240991633,0.23339842029895846,1498.1632240991635,23.339842029895777
step4,2800,5,14.952335986561497,0.2560591059628177,1495.2335986561498,25.60591059628202
step4,3000,5,14.972239763275875,0.168650761178986,1497.223976327587,16.86507611789866
